,Region,Country,Item Type,Sales Channel,Order Priority,Order Date,Order ID,Ship Date,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
0,Europe,Lithuania,Snacks,Offline,H,9/26/2011,878520286,2011-02-10 00:00:00,2530,152.58,97.44,386027.4,246523.2,139504.2
1,Sub-Saharan Africa,Mauritius ,Cosmetics,Offline,H,5/14/2016,192088067,6/18/2016,1983,437.2,263.33,866967.6,522183.39,344784.21
2,Europe,Ukraine,Office Supplies,Online,C,8/14/2010,746630275,8/31/2010,3345,651.21,524.96,2178297.45,1755991.2,422306.25
3,Europe,Russia,Snacks,Offline,L,4/13/2012,246883237,4/22/2012,7091,152.58,97.44,1081944.78,690947.04,390997.74
4,Asia,Japan,Cosmetics,Offline,H,9/19/2013,967895781,9/28/2013,725,437.2,263.33,316970.0,190914.25,126055.75
5,Europe,Russia,Meat,Offline,L,2015-02-12 00:00:00,305029237,12/26/2015,3784,421.89,364.69,1596431.76,1379986.96,216444.8
6,Europe,Liechtenstein,Vegetables,Offline,L,2/26/2017,223957431,2/28/2017,2835,154.06,90.93,436760.1,257786.55,178973.55
7,Europe,Greece,Clothes,Online,C,2016-09-10 00:00:00,510666692,10/13/2016,6477,109.28,35.84,707806.56,232135.68,475670.88
8,Europe,Albania,Baby Food,Offline,C,5/20/2011,121455848,6/19/2011,339,255.28,159.42,86539.92,54043.38,32496.54
9,Australia and Oceania,Federated States of Micronesia,Baby Food,Online,M,10/24/2013,332936227,2013-03-12 00:00:00,2083,255.28,159.42,531748.24,332071.86,199676.38
10,Central America and the Caribbean,Dominica,Beverages,Offline,H,6/14/2011,692031657,7/20/2011,6401,47.45,31.79,303727.45,203487.79,100239.66
11,Europe,Andorra,Office Supplies,Online,M,6/20/2015,365978467,7/21/2015,16,651.21,524.96,10419.36,8399.36,2020.0
12,Europe,Switzerland,Personal Care,Online,M,2011-05-08 00:00:00,392325484,2011-01-09 00:00:00,6684,81.73,56.67,546283.32,378782.28,167501.04
13,Central America and the Caribbean,Trinidad and Tobago,Baby Food,Offline,L,11/30/2016,528934037,2017-09-01 00:00:00,2191,255.28,159.42,559318.48,349289.22,210029.26
14,Europe,San Marino,Vegetables,Online,H,2015-05-07 00:00:00,603977954,7/29/2015,9353,154.06,90.93,1440923.18,850468.29,590454.89
15,Central America and the Caribbean,Nicaragua,Fruits,Online,L,3/25/2015,965943562,2015-09-05 00:00:00,3020,9.33,6.92,28176.6,20898.4,7278.2
16,Middle East and North Africa,Azerbaijan,Cosmetics,Online,M,8/22/2013,233629691,8/30/2013,5072,437.2,263.33,2217478.4,1335609.76,881868.64
17,Asia,Bangladesh,Personal Care,Online,L,2016-11-12 00:00:00,246147668,1/13/2017,9420,81.73,56.67,769896.6,533831.4,236065.2
18,Europe,Serbia,Beverages,Online,H,6/23/2013,212921321,7/18/2013,7005,47.45,31.79,332387.25,222688.95,109698.3
19,Sub-Saharan Africa,Mauritius ,Fruits,Offline,H,2015-08-05 00:00:00,763686978,5/13/2015,803,9.33,6.92,7491.99,5556.76,1935.23
