,Region,Country,Item Type,Sales Channel,Order Priority,Order Date,Order ID,Ship Date,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
0,Australia and Oceania,Australia,Meat,Online,M,8/17/2013,467573249,9/17/2013,4170,421.89,364.69,1759281.3,1520757.3,238524.0
1,Europe,Luxembourg,Fruits,Offline,L,11/26/2012,677954995,12/25/2012,804,9.33,6.92,7501.32,5563.68,1937.64
2,Europe,Estonia,Fruits,Offline,H,2017-04-07 00:00:00,128920543,7/17/2017,9308,9.33,6.92,86843.64,64411.36,22432.28
3,Europe,United Kingdom,Meat,Online,H,12/29/2013,462706220,2014-03-02 00:00:00,3908,421.89,364.69,1648746.12,1425208.52,223537.6
4,Middle East and North Africa,Morocco,Vegetables,Online,H,6/29/2016,691860854,2016-04-08 00:00:00,5856,154.06,90.93,902175.36,532486.08,369689.28
5,Europe,United Kingdom,Office Supplies,Offline,M,6/24/2017,349245774,2017-10-07 00:00:00,8440,651.21,524.96,5496212.4,4430662.4,1065550.0
6,Australia and Oceania,Papua New Guinea,Beverages,Online,H,4/13/2014,838034808,2014-02-05 00:00:00,1978,47.45,31.79,93856.1,62880.62,30975.48
7,Australia and Oceania,New Zealand,Personal Care,Offline,M,2012-10-11 00:00:00,481714284,12/27/2012,8816,81.73,56.67,720531.68,499602.72,220928.96
8,Europe,Austria,Cosmetics,Offline,L,6/17/2016,374083030,7/31/2016,8336,437.2,263.33,3644499.2,2195118.88,1449380.32
9,Central America and the Caribbean,Saint Kitts and Nevis ,Vegetables,Online,M,3/31/2014,329252374,4/15/2014,1949,154.06,90.93,300262.94,177222.57,123040.37
10,Asia,Myanmar,Snacks,Online,C,5/17/2015,231646144,5/22/2015,8097,152.58,97.44,1235440.26,788971.68,446468.58
11,Central America and the Caribbean,Guatemala,Baby Food,Online,M,2014-04-12 00:00:00,486000669,12/27/2014,7253,255.28,159.42,1851545.84,1156273.26,695272.58
12,Central America and the Caribbean,Antigua and Barbuda ,Vegetables,Offline,C,10/28/2012,667364776,2012-09-11 00:00:00,6922,154.06,90.93,1066403.32,629417.46,436985.86
13,Middle East and North Africa,Iran,Vegetables,Online,C,1/26/2010,871099793,2/28/2010,6641,154.06,90.93,1023112.46,603866.13,419246.33
14,Asia,Singapore,Cosmetics,Online,H,2012-04-07 00:00:00,362879550,2012-06-08 00:00:00,2978,437.2,263.33,1301981.6,784196.74,517784.86
15,Sub-Saharan Africa,Sudan,Baby Food,Offline,M,11/26/2011,728690373,12/17/2011,4529,255.28,159.42,1156163.12,722013.18,434149.94
16,Europe,Macedonia,Cereal,Online,M,2012-10-06 00:00:00,924831092,7/29/2012,6927,205.7,117.11,1424883.9,811220.97,613662.93
17,North America,Canada,Office Supplies,Offline,C,10/24/2011,427913033,11/20/2011,7831,651.21,524.96,5099625.51,4110961.76,988663.75
18,Europe,Malta,Cereal,Online,C,7/16/2012,584860026,7/22/2012,1934,205.7,117.11,397823.8,226490.74,171333.06
19,Middle East and North Africa,Iraq,Snacks,Online,M,8/28/2010,562908399,8/28/2010,5959,152.58,97.44,909224.22,580644.96,328579.26
