,Region,Country,Item Type,Sales Channel,Order Priority,Order Date,Order ID,Ship Date,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
0,Sub-Saharan Africa,Chad,Office Supplies,Online,L,1/27/2011,292494523,2011-12-02 00:00:00,4484,651.21,524.96,2920025.64,2353920.64,566105.0
1,Europe,Latvia,Beverages,Online,C,12/28/2015,361825549,1/23/2016,1075,47.45,31.79,51008.75,34174.25,16834.5
2,Middle East and North Africa,Pakistan,Vegetables,Offline,C,1/13/2011,141515767,2011-01-02 00:00:00,6515,154.06,90.93,1003700.9,592408.95,411291.95
3,Sub-Saharan Africa,Democratic Republic of the Congo,Household,Online,C,2012-11-09 00:00:00,500364005,2012-06-10 00:00:00,7683,668.27,502.54,5134318.41,3861014.82,1273303.59
4,Europe,Czech Republic,Beverages,Online,C,10/27/2015,127481591,2015-05-12 00:00:00,3491,47.45,31.79,165647.95,110978.89,54669.06
5,Sub-Saharan Africa,South Africa,Beverages,Offline,H,2012-10-07 00:00:00,482292354,8/21/2012,9880,47.45,31.79,468806.0,314085.2,154720.8
6,Asia,Laos,Vegetables,Online,L,2/20/2011,844532620,3/20/2011,4825,154.06,90.93,743339.5,438737.25,304602.25
7,Asia,China,Baby Food,Online,C,2017-10-04 00:00:00,564251220,2017-12-05 00:00:00,3330,255.28,159.42,850082.4,530868.6,319213.8
8,Sub-Saharan Africa,Eritrea,Meat,Online,L,11/21/2014,411809480,2015-10-01 00:00:00,2431,421.89,364.69,1025614.59,886561.39,139053.2
9,Central America and the Caribbean,Haiti,Office Supplies,Online,C,2015-04-07 00:00:00,327881228,7/20/2015,6197,651.21,524.96,4035548.37,3253177.12,782371.25
10,Sub-Saharan Africa,Zambia,Cereal,Offline,M,7/26/2016,773452794,8/24/2016,724,205.7,117.11,148926.8,84787.64,64139.16
11,Europe,Bosnia and Herzegovina,Baby Food,Offline,M,10/20/2012,479823005,11/15/2012,9145,255.28,159.42,2334535.6,1457895.9,876639.7
12,Europe,Germany,Office Supplies,Online,C,2/22/2015,498603188,2/27/2015,6618,651.21,524.96,4309707.78,3474185.28,835522.5
13,Asia,India,Household,Online,C,8/27/2016,151717174,2016-02-09 00:00:00,5338,668.27,502.54,3567225.26,2682558.52,884666.74
14,Middle East and North Africa,Algeria,Clothes,Offline,C,6/21/2011,181401288,7/21/2011,9527,109.28,35.84,1041110.56,341447.68,699662.88
15,Australia and Oceania,Palau,Snacks,Offline,L,9/19/2013,500204360,2013-04-10 00:00:00,441,152.58,97.44,67287.78,42971.04,24316.74
16,Central America and the Caribbean,Cuba,Beverages,Online,H,11/15/2015,640987718,11/30/2015,1365,47.45,31.79,64769.25,43393.35,21375.9
17,Europe,Vatican City,Beverages,Online,L,2015-06-04 00:00:00,206925189,4/27/2015,2617,47.45,31.79,124176.65,83194.43,40982.22
18,Middle East and North Africa,Lebanon,Personal Care,Offline,H,2010-12-04 00:00:00,221503102,5/19/2010,6545,81.73,56.67,534922.85,370905.15,164017.7
19,Asia,Indonesia,Meat,Online,L,4/13/2016,514505898,5/16/2016,2584,421.89,364.69,1090163.76,942358.96,147804.8
