,Region,Country,Item Type,Sales Channel,Order Priority,Order Date,Order ID,Ship Date,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
0,Australia and Oceania,Australia,Fruits,Offline,C,1/18/2016,592504966,2016-04-03 00:00:00,4241,9.33,6.92,39568.53,29347.72,10220.81
1,Sub-Saharan Africa,The Gambia,Office Supplies,Online,H,11/27/2015,258074700,2016-07-01 00:00:00,8894,651.21,524.96,5791861.74,4668994.24,1122867.5
2,Europe,Latvia,Beverages,Online,C,2011-07-03 00:00:00,897431361,2011-09-04 00:00:00,8738,47.45,31.79,414618.1,277781.02,136837.08
3,Europe,Bulgaria,Clothes,Online,M,11/18/2015,665311276,11/24/2015,9246,109.28,35.84,1010402.88,331376.64,679026.24
4,Europe,France,Beverages,Offline,L,2011-02-01 00:00:00,486763274,2011-02-02 00:00:00,2925,47.45,31.79,138791.25,92985.75,45805.5
5,Middle East and North Africa,United Arab Emirates,Fruits,Offline,M,6/23/2016,907148683,2016-02-08 00:00:00,4309,9.33,6.92,40202.97,29818.28,10384.69
6,Middle East and North Africa,Kuwait,Personal Care,Online,C,8/23/2011,742141330,8/30/2011,4966,81.73,56.67,405871.18,281423.22,124447.96
7,Middle East and North Africa,Iran,Personal Care,Offline,M,2014-07-10 00:00:00,227727544,10/25/2014,8496,81.73,56.67,694378.08,481468.32,212909.76
8,Central America and the Caribbean,Jamaica,Beverages,Online,M,2011-10-02 00:00:00,570206153,3/29/2011,5527,47.45,31.79,262256.15,175703.33,86552.82
9,Sub-Saharan Africa,Rwanda,Cereal,Offline,M,4/14/2017,796188485,5/13/2017,8721,205.7,117.11,1793909.7,1021316.31,772593.39
10,North America,United States of America,Household,Online,C,11/23/2016,902598369,2017-04-01 00:00:00,7770,668.27,502.54,5192457.9,3904735.8,1287722.1
11,Europe,Cyprus,Beverages,Offline,M,4/27/2017,506672132,5/20/2017,4398,47.45,31.79,208685.1,139812.42,68872.68
12,Middle East and North Africa,Afghanistan,Vegetables,Online,C,8/28/2015,195958602,8/29/2015,7360,154.06,90.93,1133881.6,669244.8,464636.8
13,Sub-Saharan Africa,Uganda,Cereal,Online,M,1/19/2010,178319108,2010-03-02 00:00:00,7442,205.7,117.11,1530819.4,871532.62,659286.78
14,Sub-Saharan Africa,Senegal,Vegetables,Offline,C,2011-02-02 00:00:00,731927478,3/18/2011,2461,154.06,90.93,379141.66,223778.73,155362.93
15,Middle East and North Africa,Afghanistan,Cosmetics,Online,C,2015-07-04 00:00:00,855270040,2015-07-05 00:00:00,2266,437.2,263.33,990695.2,596705.78,393989.42
16,Europe,Estonia,Personal Care,Offline,M,2016-10-05 00:00:00,517145621,2016-12-05 00:00:00,3736,81.73,56.67,305343.28,211719.12,93624.16
17,Sub-Saharan Africa,Senegal,Meat,Online,C,2016-12-10 00:00:00,206665551,10/17/2016,5784,421.89,364.69,2440211.76,2109366.96,330844.8
18,Europe,Vatican City,Beverages,Offline,L,3/24/2016,483253657,4/14/2016,4351,47.45,31.79,206454.95,138318.29,68136.66
19,Asia,Laos,Vegetables,Online,L,6/16/2015,626646268,7/31/2015,7411,154.06,90.93,1141738.66,673882.23,467856.43
