,Region,Country,Item Type,Sales Channel,Order Priority,Order Date,Order ID,Ship Date,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
0,Central America and the Caribbean,Jamaica,Baby Food,Offline,H,10/24/2016,798493468,11/24/2016,816,255.28,159.42,208308.48,130086.72,78221.76
1,Europe,Italy,Cereal,Offline,H,2013-10-03 00:00:00,637702119,2013-04-04 00:00:00,9083,205.7,117.11,1868373.1,1063710.13,804662.97
2,Asia,Bhutan,Clothes,Offline,L,3/18/2012,671986758,2012-04-05 00:00:00,4670,109.28,35.84,510337.6,167372.8,342964.8
3,Middle East and North Africa,Turkey,Clothes,Online,L,2015-11-02 00:00:00,912333714,2015-02-03 00:00:00,8675,109.28,35.84,948004.0,310912.0,637092.0
4,Europe,Bulgaria,Cosmetics,Offline,L,10/30/2012,540041816,2012-03-11 00:00:00,9229,437.2,263.33,4034918.8,2430272.57,1604646.23
5,Middle East and North Africa,Pakistan,Household,Offline,M,2012-06-07 00:00:00,156722390,2012-01-08 00:00:00,6493,668.27,502.54,4339077.11,3262992.22,1076084.89
6,Europe,Poland,Cereal,Offline,C,2011-04-01 00:00:00,434299266,2/21/2011,7659,205.7,117.11,1575456.3,896945.49,678510.81
7,Europe,France,Baby Food,Offline,M,10/25/2013,765008771,2013-10-12 00:00:00,1950,255.28,159.42,497796.0,310869.0,186927.0
8,Central America and the Caribbean,Jamaica,Baby Food,Offline,C,2/16/2016,611399734,3/22/2016,5623,255.28,159.42,1435439.44,896418.66,539020.78
9,Australia and Oceania,Australia,Personal Care,Online,H,3/16/2014,856333482,4/27/2014,6962,81.73,56.67,569004.26,394536.54,174467.72
10,Middle East and North Africa,Somalia,Fruits,Offline,C,9/24/2016,652983844,10/29/2016,1285,9.33,6.92,11989.05,8892.2,3096.85
11,Europe,Slovenia,Cosmetics,Online,M,9/30/2010,574837148,2010-11-11 00:00:00,5941,437.2,263.33,2597405.2,1564443.53,1032961.67
12,Australia and Oceania,Samoa ,Clothes,Offline,C,2010-05-11 00:00:00,365692222,2010-05-12 00:00:00,5310,109.28,35.84,580276.8,190310.4,389966.4
13,Sub-Saharan Africa,South Africa,Cereal,Online,M,7/21/2017,289660394,8/22/2017,5802,205.7,117.11,1193471.4,679472.22,513999.18
14,Sub-Saharan Africa,Ghana,Vegetables,Online,L,2013-10-07 00:00:00,681165492,7/26/2013,861,154.06,90.93,132645.66,78290.73,54354.93
15,Asia,Sri Lanka,Office Supplies,Offline,M,2012-06-10 00:00:00,594943845,10/21/2012,5959,651.21,524.96,3880560.39,3128236.64,752323.75
16,Sub-Saharan Africa,Guinea,Meat,Online,C,2011-04-06 00:00:00,956044280,7/24/2011,3603,421.89,364.69,1520069.67,1313978.07,206091.6
17,Europe,Spain,Fruits,Offline,L,2014-12-04 00:00:00,509828126,4/15/2014,8327,9.33,6.92,77690.91,57622.84,20068.07
18,Europe,Moldova ,Personal Care,Online,M,10/26/2015,771969211,12/15/2015,1699,81.73,56.67,138859.27,96282.33,42576.94
19,Central America and the Caribbean,Dominican Republic,Cereal,Online,L,2011-04-08 00:00:00,178453862,8/27/2011,7318,205.7,117.11,1505312.6,857010.98,648301.62
