,Region,Country,Item Type,Sales Channel,Order Priority,Order Date,Order ID,Ship Date,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
0,Luxembourg,Personal Care,Online,L,2/24/2017,835580909,4/14/2017,5814,81.73,56.67,475178.22,329479.38,145698.84,
1,Kuwait,Office Supplies,Offline,L,3/30/2011,869961678,2011-12-04 00:00:00,9848,651.21,524.96,6413116.08,5169806.08,1243310.0,
2,Saint Lucia,Fruits,Online,C,2015-02-05 00:00:00,278519999,6/14/2015,9112,9.33,6.92,85014.96,63055.04,21959.92,
3,Georgia,Vegetables,Offline,H,2014-01-02 00:00:00,478492200,2/26/2014,5330,154.06,90.93,821139.8,484656.9,336482.9,
4,Bosnia and Herzegovina,Cosmetics,Offline,H,2012-03-03 00:00:00,257427108,2012-10-04 00:00:00,7257,437.2,263.33,3172760.4,1910985.81,1261774.59,
5,Iceland,Snacks,Online,H,4/22/2015,723186051,5/13/2015,5678,152.58,97.44,866349.24,553264.32,313084.92,
6,Mauritius ,Personal Care,Online,M,2011-12-05 00:00:00,353942859,5/15/2011,8412,81.73,56.67,687512.76,476708.04,210804.72,
7,Malawi,Office Supplies,Online,C,12/21/2011,848183858,1/18/2012,5307,651.21,524.96,3455971.47,2785962.72,670008.75,
8,Seychelles ,Meat,Online,C,2010-02-12 00:00:00,374707877,12/25/2010,3243,421.89,364.69,1368189.27,1182689.67,185499.6,
9,Montenegro,Personal Care,Online,L,8/14/2010,322626245,9/16/2010,1130,81.73,56.67,92354.9,64037.1,28317.8,
10,Germany,Household,Online,L,2010-05-10 00:00:00,351362788,11/14/2010,4912,668.27,502.54,3282542.24,2468476.48,814065.76,
11,Estonia,Meat,Offline,H,2012-08-02 00:00:00,640653836,3/18/2012,2562,421.89,364.69,1080882.18,934335.78,146546.4,
12,Serbia,Clothes,Online,M,2012-08-09 00:00:00,540548217,9/20/2012,9084,109.28,35.84,992699.52,325570.56,667128.96,
13,Madagascar,Baby Food,Offline,C,2011-11-08 00:00:00,821407258,8/19/2011,1516,255.28,159.42,387004.48,241680.72,145323.76,
14,Benin,Beverages,Offline,H,10/28/2012,523904788,2012-07-11 00:00:00,3924,47.45,31.79,186193.8,124743.96,61449.84,
15,Hungary,Clothes,Online,M,2013-11-10 00:00:00,109027135,10/27/2013,2407,109.28,35.84,263036.96,86266.88,176770.08,
16,Cuba,Cosmetics,Online,L,2016-06-10 00:00:00,108073127,10/20/2016,95,437.2,263.33,41534.0,25016.35,16517.65,
17,Senegal,Fruits,Offline,H,7/28/2017,672654092,7/31/2017,2148,9.33,6.92,20040.84,14864.16,5176.68,
18,Algeria,Vegetables,Online,M,2016-04-11 00:00:00,224693858,11/25/2016,761,154.06,90.93,117239.66,69197.73,48041.93,
19,Bosnia and Herzegovina,Personal Care,Online,M,2016-12-04 00:00:00,406428754,2016-01-05 00:00:00,155,81.73,56.67,12668.15,8783.85,3884.3,
