,Region,Country,Item Type,Sales Channel,Order Priority,Order Date,Order ID,Ship Date,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
0,Antigua and Barbuda ,Baby Food,Online,H,11/13/2014,230407607,12/20/2014,1586,255.28,159.42,404874.08,252840.12,152033.96,
1,Cambodia,Personal Care,Online,H,8/26/2012,129491746,9/22/2012,8340,81.73,56.67,681628.2,472627.8,209000.4,
2,Oman,Vegetables,Online,C,7/15/2014,606854999,8/15/2014,735,154.06,90.93,113234.1,66833.55,46400.55,
3,United States of America,Baby Food,Offline,L,2011-02-05 00:00:00,885983693,2011-04-05 00:00:00,1118,255.28,159.42,285403.04,178231.56,107171.48,
4,Mauritania,Office Supplies,Offline,L,2013-11-11 00:00:00,260676658,12/17/2013,8871,651.21,524.96,5776883.91,4656920.16,1119963.75,
5,Central African Republic,Cosmetics,Offline,H,4/14/2011,345045220,5/20/2011,5403,437.2,263.33,2362191.6,1422771.99,939419.61,
6,Albania,Baby Food,Online,H,2012-04-10 00:00:00,123513209,11/21/2012,9158,255.28,159.42,2337854.24,1459968.36,877885.88,
7,Switzerland,Vegetables,Online,M,5/14/2013,900816953,2013-10-06 00:00:00,609,154.06,90.93,93822.54,55376.37,38446.17,
8,Ghana,Household,Online,M,2013-12-01 00:00:00,452005279,2013-02-02 00:00:00,7261,668.27,502.54,4852308.47,3648942.94,1203365.53,
9,Austria,Vegetables,Online,H,2012-03-10 00:00:00,672439515,2012-12-11 00:00:00,8650,154.06,90.93,1332619.0,786544.5,546074.5,
10,Democratic Republic of the Congo,Household,Offline,L,10/23/2010,827793490,11/20/2010,1344,668.27,502.54,898154.88,675413.76,222741.12,
11,Dominican Republic,Clothes,Online,L,2014-06-02 00:00:00,704053533,3/28/2014,3941,109.28,35.84,430672.48,141245.44,289427.04,
12,Mauritius ,Baby Food,Offline,H,2011-04-09 00:00:00,157518470,2011-04-09 00:00:00,2070,255.28,159.42,528429.6,329999.4,198430.2,
13,Libya,Cosmetics,Offline,C,2016-12-05 00:00:00,464799630,6/26/2016,3394,437.2,263.33,1483856.8,893742.02,590114.78,
14,Samoa ,Office Supplies,Online,M,7/19/2015,272820842,8/20/2015,2605,651.21,524.96,1696402.05,1367520.8,328881.25,
15,Kuwait,Personal Care,Online,H,10/28/2012,548818433,11/24/2012,6425,81.73,56.67,525115.25,364104.75,161010.5,
16,Hungary,Meat,Online,C,8/25/2016,530341231,9/25/2016,8611,421.89,364.69,3632894.79,3140345.59,492549.2,
17,Senegal,Beverages,Offline,C,10/25/2013,875250566,2013-03-11 00:00:00,4947,47.45,31.79,234735.15,157265.13,77470.02,
18,Moldova ,Personal Care,Offline,H,2011-11-02 00:00:00,511720263,2/26/2011,8252,81.73,56.67,674435.96,467640.84,206795.12,
19,Eritrea,Beverages,Offline,M,5/27/2016,688236653,6/13/2016,3375,47.45,31.79,160143.75,107291.25,52852.5,
