,Region,Country,Item Type,Sales Channel,Order Priority,Order Date,Order ID,Ship Date,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
0,Asia,India,Personal Care,Offline,L,12/23/2010,355778777,1/18/2011,1701,81.73,56.67,139022.73,96395.67,42627.06
1,Sub-Saharan Africa,Sao Tome and Principe,Household,Online,C,2011-10-05 00:00:00,792863404,2011-12-06 00:00:00,4755,668.27,502.54,3177623.85,2389577.7,788046.15
2,Europe,Armenia,Meat,Offline,C,2017-12-04 00:00:00,391430270,5/22/2017,1770,421.89,364.69,746745.3,645501.3,101244.0
3,Europe,Georgia,Clothes,Online,C,9/23/2016,287465703,10/25/2016,6344,109.28,35.84,693272.32,227368.96,465903.36
4,Europe,Serbia,Cosmetics,Offline,M,2010-08-02 00:00:00,787268531,3/14/2010,9108,437.2,263.33,3982017.6,2398409.64,1583607.96
5,Australia and Oceania,Tuvalu,Cosmetics,Offline,C,2014-10-01 00:00:00,917450082,2014-11-02 00:00:00,2722,437.2,263.33,1190058.4,716784.26,473274.14
6,Central America and the Caribbean,Barbados,Vegetables,Online,L,2012-03-02 00:00:00,674934184,2012-06-02 00:00:00,6878,154.06,90.93,1059624.68,625416.54,434208.14
7,Sub-Saharan Africa,Mali,Cereal,Offline,L,2011-06-09 00:00:00,576957166,2011-11-10 00:00:00,3301,205.7,117.11,679015.7,386580.11,292435.59
8,Sub-Saharan Africa,Central African Republic,Household,Online,M,6/18/2017,311067855,6/23/2017,746,668.27,502.54,498529.42,374894.84,123634.58
9,Asia,Sri Lanka,Vegetables,Offline,H,2012-10-06 00:00:00,985127580,6/13/2012,9997,154.06,90.93,1540137.82,909027.21,631110.61
10,Europe,Bosnia and Herzegovina,Vegetables,Offline,C,2014-10-10 00:00:00,177310168,10/19/2014,8874,154.06,90.93,1367128.44,806912.82,560215.62
11,Europe,Netherlands,Household,Offline,M,5/19/2013,486101949,2013-02-06 00:00:00,7224,668.27,502.54,4827582.48,3630348.96,1197233.52
12,Asia,Laos,Office Supplies,Online,C,2017-09-03 00:00:00,980301749,4/27/2017,1927,651.21,524.96,1254881.67,1011597.92,243283.75
13,Central America and the Caribbean,Honduras,Office Supplies,Online,L,6/18/2013,349020898,6/23/2013,1895,651.21,524.96,1234042.95,994799.2,239243.75
14,Sub-Saharan Africa,Zambia,Household,Online,M,1/16/2017,951683223,2017-01-02 00:00:00,3069,668.27,502.54,2050920.63,1542295.26,508625.37
15,Sub-Saharan Africa,Botswana,Snacks,Offline,L,7/18/2013,268025052,8/15/2013,3424,152.58,97.44,522433.92,333634.56,188799.36
16,Asia,Bhutan,Household,Online,C,2/23/2016,348095214,3/15/2016,7964,668.27,502.54,5322102.28,4002228.56,1319873.72
17,Sub-Saharan Africa,Zimbabwe,Household,Offline,M,5/17/2016,162255036,2016-01-07 00:00:00,3726,668.27,502.54,2489974.02,1872464.04,617509.98
18,Sub-Saharan Africa,Lesotho,Personal Care,Offline,L,8/14/2010,551178348,9/15/2010,4776,81.73,56.67,390342.48,270655.92,119686.56
19,Sub-Saharan Africa,Togo,Household,Offline,H,6/18/2011,175851476,7/20/2011,7214,668.27,502.54,4820899.78,3625323.56,1195576.22
